_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,_id_s,ilce_adi_s,mahalle_adi_s,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,n_bldg,heavy,dmg_any,heavy_ratio
631,PENDÝK,FEVZÝ ÇAKMAK,40629,467,1063,593,1140,946,37,631,PENDÝK,FEVZÝ ÇAKMAK,40629,7,26,179,537,7,2,26,60,1,1,1,1133,2123,33,749,0.015544041450777202
632,PENDÝK,GÖÇBEYLÝ,191759,0,11,674,684,1,0,632,PENDÝK,GÖÇBEYLÝ,191759,1,6,45,118,0,0,0,0,0,0,0,50,685,7,170,0.010218978102189781
633,PENDÝK,GÜLLÜ BAÐLAR,40640,69,943,295,1014,283,10,633,PENDÝK,GÜLLÜ BAÐLAR,40640,4,21,131,316,1,0,11,26,0,0,1,552,1307,25,472,0.019127773527161437
634,PENDÝK,GÜZELYALI,40634,148,850,840,446,603,789,634,PENDÝK,GÜZELYALI,40634,8,27,133,513,10,3,31,62,1,1,2,988,1838,35,681,0.019042437431991296
635,PENDÝK,HARMANDERE,40636,90,198,156,348,36,60,635,PENDÝK,HARMANDERE,40636,5,16,60,118,4,2,13,27,0,0,0,441,444,21,199,0.0472972972972973
636,PENDÝK,KAVAKPINAR,40646,305,3558,850,3313,1378,22,636,PENDÝK,KAVAKPINAR,40646,21,93,557,1271,19,8,65,145,1,1,3,2841,4713,114,1942,0.0241884150222788
637,PENDÝK,KAYNARCA,40631,392,1167,943,964,1426,112,637,PENDÝK,KAYNARCA,40631,12,37,235,734,14,6,46,99,1,1,2,1681,2502,49,1018,0.01958433253397282
638,PENDÝK,KURNA,191761,79,206,279,563,1,0,638,PENDÝK,KURNA,191761,2,9,47,111,0,0,0,1,0,1,0,65,564,11,169,0.01950354609929078
639,PENDÝK,KURTDOÐMUÞ,191763,13,103,239,355,0,0,639,PENDÝK,KURTDOÐMUÞ,191763,0,1,10,35,0,0,0,0,0,0,0,10,355,1,46,0.0028169014084507044
640,PENDÝK,KURTKÖY,40654,164,725,723,1014,487,111,640,PENDÝK,KURTKÖY,40654,3,15,109,334,0,0,8,26,0,0,1,743,1612,18,461,0.011166253101736972
641,PENDÝK,ORHANGAZÝ,40650,192,1276,448,1118,795,3,641,PENDÝK,ORHANGAZÝ,40650,8,33,217,557,9,4,26,59,1,0,1,1239,1916,41,815,0.02139874739039666
642,PENDÝK,ORTA,40645,343,229,116,583,104,1,642,PENDÝK,ORTA,40645,8,24,107,196,5,4,16,32,0,0,0,415,688,32,335,0.046511627906976744
643,PENDÝK,RAMAZANOÐLU,40639,61,570,635,1177,86,3,643,PENDÝK,RAMAZANOÐLU,40639,11,47,212,354,1,0,10,23,1,1,1,220,1266,58,624,0.045813586097946286
644,PENDÝK,SANAYÝ,40651,29,333,418,709,63,8,644,PENDÝK,SANAYÝ,40651,6,28,133,219,3,2,9,19,1,0,1,215,780,34,386,0.04358974358974359
645,PENDÝK,SAPAN BAÐLARI,40637,356,319,244,643,243,33,645,PENDÝK,SAPAN BAÐLARI,40637,10,27,135,266,8,5,22,45,0,0,1,688,919,37,438,0.04026115342763874
