_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi
305,ÇATALCA,ÝHSANÝYE,191797,226,354,172,742,10,0
306,ÇATALCA,ÝNCEÐÝZ,191799,0,416,245,661,0,0
307,ÇATALCA,ÝZZETTÝN,40900,0,243,703,944,2,0
308,ÇATALCA,KABAKÇA,191801,153,677,461,1291,0,0
309,ÇATALCA,KALEÝÇÝ,40898,71,880,1051,1920,82,0
310,ÇATALCA,KALFA,191803,87,142,173,402,0,0
311,ÇATALCA,KARACAKÖY MERKEZ,40916,0,25,1009,1032,2,0
312,ÇATALCA,KARAMANDERE,191829,12,11,326,348,1,0
313,ÇATALCA,KESTANELÝK,191805,57,412,402,861,10,0
314,ÇATALCA,KIZILCAALÝ,191807,0,0,204,198,6,0
315,ÇATALCA,MURATBEY MERKEZ,40905,0,19,678,689,8,0
316,ÇATALCA,NAKKAÞ,40909,0,338,311,648,1,0
317,ÇATALCA,OKLALI,191809,0,304,157,461,0,0
318,ÇATALCA,ORMANLI,191831,0,8,485,492,1,0
319,ÇATALCA,OVAYENÝCE,40901,103,289,691,1083,0,0
320,ÇATALCA,ÖRCÜNLÜ,191811,0,0,421,421,0,0
321,ÇATALCA,ÖRENCÝK,191813,62,62,409,532,1,0
322,ÇATALCA,SUBAÞI,191815,67,468,395,928,2,0
323,ÇATALCA,YALIKÖY,191833,0,29,855,872,12,0
324,ÇATALCA,YAYLACIK,191817,15,11,4,30,0,0
325,ÇATALCA,YAZLIK,191819,0,0,216,216,0,0
326,ÇEKMEKÖY,ALEMDAÐ,40749,64,388,557,889,117,3
327,ÇEKMEKÖY,AYDINLAR,40766,9,527,545,650,403,28
328,ÇEKMEKÖY,CUMHURÝYET,40769,6,400,354,456,242,62
329,ÇEKMEKÖY,ÇAMLIK,40753,5,370,563,298,634,6
330,ÇEKMEKÖY,ÇATALMEÞE,40750,39,470,682,1010,180,1
331,ÇEKMEKÖY,EKÞÝOÐLU,40751,14,732,325,987,82,2
332,ÇEKMEKÖY,GÜNGÖREN,40768,18,285,245,342,178,28
333,ÇEKMEKÖY,HAMÝDÝYE,40754,0,361,927,506,763,19
334,ÇEKMEKÖY,HÜSEYÝNLÝ,191993,38,3,482,517,3,3
335,ÇEKMEKÖY,KÝRAZLIDERE,40770,5,252,241,266,212,20
336,ÇEKMEKÖY,KOÇULLU,191995,53,0,347,397,3,0
337,ÇEKMEKÖY,MEHMET AKÝF,40755,9,623,967,630,949,20
338,ÇEKMEKÖY,MERKEZ,40756,58,482,1683,1662,560,1
339,ÇEKMEKÖY,MÝMAR SÝNAN,40757,4,720,742,930,485,51
340,ÇEKMEKÖY,NÝÞANTEPE,40752,0,0,1023,962,38,23
341,ÇEKMEKÖY,ÖMERLÝ,40758,108,0,1602,1693,17,0
342,ÇEKMEKÖY,REÞADÝYE,191997,1,107,1105,1210,3,0
343,ÇEKMEKÖY,SIRAPINAR,191999,23,0,454,475,2,0
344,ÇEKMEKÖY,SOÐUKPINAR,40767,15,433,194,472,153,17
345,ÇEKMEKÖY,SULTANÇÝFTLÝÐÝ,40764,24,324,379,452,183,92
346,ÇEKMEKÖY,TAÞDELEN,40765,17,126,257,202,143,55
347,ESENLER,BÝRLÝK,40348,520,839,388,703,1039,5
348,ESENLER,ÇÝFTE HAVUZLAR,40340,111,61,99,213,58,0
349,ESENLER,DAVUTPAÞA,40342,384,357,260,411,590,0
350,ESENLER,FATÝH,40350,525,1035,526,496,1588,2
351,ESENLER,FEVZÝ ÇAKMAK,40345,366,601,358,221,1100,4
352,ESENLER,HAVAALANI,40354,367,1128,372,751,1056,60
353,ESENLER,KAZIM KARABEKÝR,40346,405,652,442,277,1216,6
354,ESENLER,KEMER,40352,501,541,327,590,763,16
