_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,lon,lat,area_km2,match,vs30_point,vs30_mean,vs30_min,vs30_max,vs30_used,vs30_source,vs30_flag
262,BEYOĞLU,YENİŞEHİR,40265,283,271,101,458,195,2,28.978186,41.04232,0.104,name+spatial,432.4,411.0,389.62646484375,432.37322998046875,411.0,polygon mean,ok
263,BÜYÜKÇEKMECE,19.May,40850,83,260,279,434,187,1,,,,UNMATCHED,,,,,,none,no_geometry
264,BÜYÜKÇEKMECE,AHMEDİYE,40891,1,242,71,311,2,1,28.520129,41.091313,3.078,name+district,385.2,352.2,218.8988800048828,600.0,352.2,polygon mean,ok
265,BÜYÜKÇEKMECE,ALKENT 2000,40844,0,521,968,1456,13,20,28.605805,41.071448,6.694,name+district,516.0,415.6,221.05303955078125,561.4330444335938,415.6,polygon mean,ok
266,BÜYÜKÇEKMECE,ATATÜRK,40845,63,738,395,787,409,0,28.603338,41.013375,1.243,name+district,468.7,517.7,373.8591613769531,593.778076171875,517.7,polygon mean,ok
267,BÜYÜKÇEKMECE,BAHÇELİEVLER,40882,0,1106,787,1881,12,0,28.491402,41.027448,7.191,name+district,473.9,473.6,328.28289794921875,603.47998046875,473.6,polygon mean,ok
268,BÜYÜKÇEKMECE,CELALİYE,40928,0,115,1886,1894,107,0,28.412701,41.063311,13.241,name+district,594.6,474.0,294.4476013183594,600.0,474.0,polygon mean,ok
269,BÜYÜKÇEKMECE,CUMHURİYET,40846,3,388,444,719,95,21,28.619072,41.022534,2.545,name+district,559.2,476.8,263.6153564453125,593.778076171875,476.8,polygon mean,ok
270,BÜYÜKÇEKMECE,ÇAKMAKLI,99334,0,279,215,469,12,13,28.61586,41.051364,5.496,name+district,533.2,476.6,299.3525695800781,561.4330444335938,476.6,polygon mean,ok
271,BÜYÜKÇEKMECE,DİZDARİYE,40847,152,167,229,344,204,0,28.579361,41.02458,0.559,name+district,340.7,424.2,244.66334533691406,600.0,424.2,polygon mean,ok
